x,y,z,
36.20031,37.18927,1.298727,
36.20047,37.18927,0.944028,
36.20309,37.18927,-2.708208,
36.20265,37.18928,-0.775799,
36.2006,37.18931,0.07472,
36.20328,37.18932,-0.162629,
36.20072,37.18933,0.855898,
36.19952,37.18936,1.083699,
36.19962,37.18936,-0.865519,
36.19992,37.18939,0.865219,
36.2024,37.18941,0.27705,
36.20005,37.18942,1.569589,
36.20267,37.18942,-0.635138,
36.20433,37.18943,0.863376,
36.19807,37.18947,-2.985564,
36.1992,37.18947,-1.272129,
36.19893,37.18947,-1.002476,
36.19873,37.18947,-0.952797,
36.19789,37.18948,1.497746,
36.20483,37.18948,0.194051,
36.19834,37.18949,0.961662,
36.20509,37.18949,4.404595,
36.20281,37.1895,-1.170043,
36.19962,37.18951,-1.789009,
36.20388,37.18951,-0.456562,
36.2047,37.18951,-0.356641,
36.20539,37.18951,-2.191809,
36.20317,37.18951,0.16297,
36.19861,37.18952,-0.603389,
36.20244,37.18953,-3.165949,
36.20082,37.18954,0.022682,
36.20064,37.18956,1.379083,
36.19816,37.18957,1.118686,
36.1995,37.18957,-0.422246,
36.20411,37.18959,0.578079,
36.19905,37.1896,-1.195943,
36.20046,37.1896,0.559277,
36.20305,37.1896,0.875929,
36.20522,37.18962,1.215079,
36.19806,37.18963,0.933566,
36.19846,37.18965,-0.798495,
36.19932,37.18966,-0.978623,
36.19891,37.18966,2.396385,
36.19873,37.18966,-2.093425,
36.19833,37.18966,0.98368,
36.19788,37.18967,3.297359,
36.1992,37.18967,0.970921,
36.20031,37.18967,1.088542,
36.20266,37.18967,-0.853658,
36.19949,37.18968,0.021693,
36.20367,37.18968,0.743542,
36.19965,37.18969,-1.063266,
36.2025,37.18969,-1.491596,
36.20562,37.1897,0.995205,
36.20383,37.18971,0.858133,
36.20545,37.18971,0.976689,
36.20285,37.18972,-1.328762,
36.2001,37.18974,0.24081,
36.20085,37.18975,1.791879,
36.19892,37.18976,1.561149,
36.19846,37.18976,-1.304906,
36.19833,37.18976,2.185349,
36.20069,37.18976,-0.294949,
36.20527,37.18976,-0.066236,
36.2048,37.18976,1.192623,
36.19904,37.18977,-0.662032,
36.19873,37.18978,-0.525824,
36.19948,37.18978,0.376149,
36.20495,37.18978,1.293164,
36.20611,37.18978,1.329119,
36.19805,37.18979,1.012069,
36.19998,37.18979,1.218671,
36.2031,37.1898,0.96492,
36.20458,37.18981,0.461474,
36.20508,37.18981,0.102388,
36.20287,37.18983,0.148537,
36.20271,37.18983,-1.039413,
36.20253,37.18984,-0.768503,
36.19919,37.18985,1.505442,
36.2038,37.18985,1.00638,
36.19814,37.18986,1.269228,
36.19788,37.18986,0.448678,
36.19931,37.18986,0.427102,
36.20019,37.18986,1.868432,
36.19832,37.18987,0.291032,
36.19903,37.18988,1.640142,
36.19873,37.18988,-0.556173,
36.19891,37.18989,0.998993,
36.19959,37.18989,0.14497,
36.20055,37.18989,-0.5988,
36.20406,37.18989,-2.145546,
36.20037,37.18991,1.153897,
36.2036,37.18992,0.447494,
36.20427,37.18996,-0.337371,
36.20088,37.18997,0.381748,
36.20076,37.18998,0.521884,
36.20319,37.19001,-0.158582,
36.20608,37.19002,-0.276493,
36.1986,37.19003,1.849667,
36.20475,37.19003,-0.533504,
