lat,lon,meta,elav
37.15428,36.2158,584575,-3.006544
37.1543,36.20836,5427595,1.144827
37.15432,36.21548,794892,0.462195
37.15432,36.21075,3873626,1.053581
37.15433,36.21431,1554353,-0.977611
37.15433,36.20776,5813171,0.476703
37.15433,36.20877,5158867,-0.513607
37.15435,36.21033,4142361,0.824132
37.15436,36.21154,3359534,0.537594
37.15439,36.21666,29597,0.027505
37.15439,36.21004,4335151,-0.197364
37.15439,36.20649,6642741,0.926331
37.15439,36.20664,6543427,1.347161
37.15439,36.20852,5322449,0.196822
37.15441,36.20617,6847214,0.487896
37.15442,36.21598,467751,-0.701333
37.15444,36.20695,6344805,-0.215357
37.15445,36.21472,1291476,-1.115891
37.15445,36.2132,2278774,0.804752
37.15446,36.21265,2635137,-1.796829
37.15446,36.20666,6531751,0.820196
37.15446,36.20919,4884307,0.298217
37.15447,36.20727,6134496,1.373602
37.15447,36.20825,5497718,-0.30454
37.15448,36.21565,683911,0.665557
37.15448,36.20942,4738259,-1.392738
37.1545,36.21151,3377076,1.045254
37.15452,36.20877,5158888,1.018087
37.15456,36.2064,6701180,-0.143603
37.1546,36.20794,5696361,0.725113
37.15461,36.21617,345090,-0.365104
37.15461,36.21119,3587400,3.32476
37.15464,36.21583,567089,-0.022346
37.15465,36.21065,3937924,1.170605
37.15468,36.20671,6496724,0.627193
37.15468,36.20626,6788824,0.892786
37.15468,36.21419,1636180,0.772505
37.15469,36.20892,5059593,1.791857
37.15469,36.20878,5153065,1.467445
37.15477,36.21203,3038270,-0.101638
37.15477,36.20661,6560996,0.8154
37.15478,36.21228,2874695,0.903128
37.1548,36.20644,6671997,0.514209
37.1548,36.20854,5310811,0.53045
37.15481,36.21638,210746,-1.750739
37.15481,36.21281,2530020,2.879589
37.15481,36.20714,6216322,0.592233
37.15483,36.21602,444428,0.144888
37.15486,36.21065,3937948,0.806523
37.15489,36.21479,1244789,0.867918
37.1549,36.20639,6707060,1.512013
37.1549,36.20879,5147246,0.777883
37.15495,36.21295,2442406,1.129552
37.15497,36.20734,6087816,0.267321
37.15497,36.21035,4130746,0.756372
37.15501,36.20782,5778194,-1.446587
37.15501,36.2134,2150312,0.221454
37.15505,36.20653,6613605,0.632502
37.15505,36.21414,1665431,0.729633
37.15506,36.21663,47198,-1.827854
37.15506,36.21545,812500,0.937283
37.15506,36.20691,6368242,1.209747
37.15506,36.20817,5550362,0.567665
37.15507,36.20949,4691589,0.848425
37.15508,36.20758,5930094,0.85146
37.15508,36.21356,2045164,0.532604
37.15509,36.20709,6251405,1.055779
37.15509,36.2067,6502611,0.743028
37.15509,36.21075,3873711,0.885942
37.15509,36.2088,5141425,1.613107
37.15509,36.20967,4574751,0.372332
37.15511,36.21387,1840698,0.687926
37.15513,36.21107,3663404,0.110835
37.15513,36.21009,4300182,0.55101
37.15513,36.21502,1092924,0.57573
37.15513,36.21477,1256500,0.832746
37.15518,36.20932,4802599,-0.588525
37.1552,36.2092,4878548,0.758783
37.15524,36.21134,3488156,1.026052
37.15526,36.21223,2909800,1.802067
37.15526,36.20666,6531840,0.231983
37.15526,36.2138,1887450,0.880939
37.15526,36.2135,2080236,0.201272
37.15527,36.2132,2278865,0.853932
37.15529,36.21072,3891260,0.514381
37.15529,36.20619,6835628,0.810596
37.15529,36.20805,5626334,-0.854898
37.15529,36.2088,5141448,0.767367
37.1553,36.21167,3272009,-0.1886
37.1553,36.21239,2804649,-2.195549
37.15531,36.20794,5696440,0.679803
37.15531,36.20858,5281658,-1.000755
